type,vertices,heuristic,colors,time
90,50,DSATUR,24,88062
90,50,GREEDY,26,13035
90,50,WELSH_POWELL,27,38936
90,50,DSATUR,25,89839
90,50,GREEDY,28,14802
90,50,WELSH_POWELL,26,40909
90,50,DSATUR,24,91319
90,50,GREEDY,25,15158
90,50,WELSH_POWELL,24,41408
90,50,DSATUR,24,91153
90,50,GREEDY,26,14106
90,50,WELSH_POWELL,24,38982
90,50,DSATUR,24,114618
90,50,GREEDY,27,15092
90,50,WELSH_POWELL,26,43260
90,50,DSATUR,25,98851
90,50,GREEDY,28,26083
90,50,WELSH_POWELL,25,320380
90,50,DSATUR,23,99330
90,50,GREEDY,24,16943
90,50,WELSH_POWELL,23,43313
90,50,DSATUR,23,94278
90,50,GREEDY,26,14378
90,50,WELSH_POWELL,26,39543
90,50,DSATUR,23,84241
90,50,GREEDY,27,15686
90,50,WELSH_POWELL,23,40698
90,50,DSATUR,23,87282
90,50,GREEDY,26,15376
90,50,WELSH_POWELL,25,41899
90,50,DSATUR,23,90241
90,50,GREEDY,27,14709
90,50,WELSH_POWELL,25,41402
90,50,DSATUR,24,93555
90,50,GREEDY,26,15762
90,50,WELSH_POWELL,24,40155
90,50,DSATUR,25,90451
90,50,GREEDY,28,16103
90,50,WELSH_POWELL,25,41236
90,50,DSATUR,25,91960
90,50,GREEDY,26,15480
90,50,WELSH_POWELL,26,40912
90,50,DSATUR,24,89205
90,50,GREEDY,25,16043
90,50,WELSH_POWELL,25,41014
90,50,DSATUR,25,91083
90,50,GREEDY,29,14687
90,50,WELSH_POWELL,26,38932
90,50,DSATUR,27,98155
90,50,GREEDY,26,15617
90,50,WELSH_POWELL,25,41565
90,50,DSATUR,24,89205
90,50,GREEDY,26,15165
90,50,WELSH_POWELL,24,40984
90,50,DSATUR,25,92547
90,50,GREEDY,27,16465
90,50,WELSH_POWELL,25,41673
90,50,DSATUR,23,91517
90,50,GREEDY,26,16034
90,50,WELSH_POWELL,22,42498
90,50,DSATUR,24,89906
90,50,GREEDY,26,15378
90,50,WELSH_POWELL,24,41238
90,50,DSATUR,24,89146
90,50,GREEDY,26,15147
90,50,WELSH_POWELL,25,41563
90,50,DSATUR,25,90312
90,50,GREEDY,27,14588
90,50,WELSH_POWELL,24,40076
90,50,DSATUR,25,85005
90,50,GREEDY,27,14206
90,50,WELSH_POWELL,25,39579
90,50,DSATUR,24,87507
90,50,GREEDY,29,14821
90,50,WELSH_POWELL,26,40695
90,50,DSATUR,25,91168
90,50,GREEDY,26,14538
90,50,WELSH_POWELL,24,41254
90,50,DSATUR,26,96544
90,50,GREEDY,27,14811
90,50,WELSH_POWELL,24,41510
90,50,DSATUR,24,90710
90,50,GREEDY,26,15159
90,50,WELSH_POWELL,28,40225
90,50,DSATUR,24,91227
90,50,GREEDY,28,14435
90,50,WELSH_POWELL,26,41169
90,50,DSATUR,24,88832
90,50,GREEDY,24,14982
90,50,WELSH_POWELL,23,40928
90,50,DSATUR,24,89864
90,50,GREEDY,27,15272
90,50,WELSH_POWELL,25,39077
90,50,DSATUR,25,87065
90,50,GREEDY,27,14703
90,50,WELSH_POWELL,25,39946
90,50,DSATUR,24,88729
90,50,GREEDY,26,14518
90,50,WELSH_POWELL,25,39902
90,50,DSATUR,24,89179
