type,vertices,heuristic,colors,time
10,50,DSATUR,4,65571
10,50,GREEDY,5,10258
10,50,WELSH_POWELL,5,32991
10,50,DSATUR,4,62489
10,50,GREEDY,5,10289
10,50,WELSH_POWELL,4,33389
10,50,DSATUR,4,64996
10,50,GREEDY,5,9239
10,50,WELSH_POWELL,4,31022
10,50,DSATUR,4,57815
10,50,GREEDY,5,9292
10,50,WELSH_POWELL,4,30589
10,50,DSATUR,4,60447
10,50,GREEDY,4,11594
10,50,WELSH_POWELL,5,34340
10,50,DSATUR,4,64437
10,50,GREEDY,5,10474
10,50,WELSH_POWELL,4,33082
10,50,DSATUR,4,61639
10,50,GREEDY,6,10065
10,50,WELSH_POWELL,5,32090
10,50,DSATUR,4,60812
10,50,GREEDY,5,10843
10,50,WELSH_POWELL,4,33010
10,50,DSATUR,4,87314
10,50,GREEDY,5,12647
10,50,WELSH_POWELL,5,33711
10,50,DSATUR,4,64758
10,50,GREEDY,4,10386
10,50,WELSH_POWELL,4,32634
10,50,DSATUR,4,61628
10,50,GREEDY,4,9919
10,50,WELSH_POWELL,3,30322
10,50,DSATUR,4,59889
10,50,GREEDY,5,10526
10,50,WELSH_POWELL,4,31996
10,50,DSATUR,4,63212
10,50,GREEDY,6,10632
10,50,WELSH_POWELL,5,33440
10,50,DSATUR,4,60330
10,50,GREEDY,5,10215
10,50,WELSH_POWELL,5,31701
10,50,DSATUR,4,59375
10,50,GREEDY,4,9503
10,50,WELSH_POWELL,4,30864
10,50,DSATUR,4,60038
10,50,GREEDY,5,10049
10,50,WELSH_POWELL,4,31801
10,50,DSATUR,4,59933
10,50,GREEDY,4,9683
10,50,WELSH_POWELL,4,91813
10,50,DSATUR,4,59560
10,50,GREEDY,5,10508
10,50,WELSH_POWELL,5,33369
10,50,DSATUR,4,64423
10,50,GREEDY,5,10283
10,50,WELSH_POWELL,5,31990
10,50,DSATUR,4,59674
10,50,GREEDY,5,10589
10,50,WELSH_POWELL,5,33345
10,50,DSATUR,5,64511
10,50,GREEDY,5,10604
10,50,WELSH_POWELL,4,33143
10,50,DSATUR,4,62569
10,50,GREEDY,5,10399
10,50,WELSH_POWELL,5,32582
10,50,DSATUR,4,63569
10,50,GREEDY,6,11770
10,50,WELSH_POWELL,5,33965
10,50,DSATUR,5,61182
10,50,GREEDY,4,10527
10,50,WELSH_POWELL,4,31104
10,50,DSATUR,4,56832
10,50,GREEDY,6,10171
10,50,WELSH_POWELL,5,33313
10,50,DSATUR,4,65014
10,50,GREEDY,5,9704
10,50,WELSH_POWELL,4,32144
10,50,DSATUR,4,58932
10,50,GREEDY,5,9659
10,50,WELSH_POWELL,4,32081
10,50,DSATUR,3,59851
10,50,GREEDY,5,10193
10,50,WELSH_POWELL,5,32180
10,50,DSATUR,4,64600
10,50,GREEDY,4,10257
10,50,WELSH_POWELL,4,32637
10,50,DSATUR,4,63728
10,50,GREEDY,5,9943
10,50,WELSH_POWELL,4,32077
10,50,DSATUR,4,79991
10,50,GREEDY,5,10333
10,50,WELSH_POWELL,5,32039
10,50,DSATUR,4,63835
10,50,GREEDY,5,10413
10,50,WELSH_POWELL,4,32210
10,50,DSATUR,4,60259
10,50,GREEDY,5,25946
10,50,WELSH_POWELL,5,30073
10,50,DSATUR,4,59759
10,50,GREEDY,6,10587
10,50,WELSH_POWELL,4,32193
10,50,DSATUR,4,60882
10,50,GREEDY,4,9939
10,50,WELSH_POWELL,4,29971
10,50,DSATUR,4,56209
10,50,GREEDY,5,10205
10,50,WELSH_POWELL,4,33623
10,50,DSATUR,4,60933
10,50,GREEDY,5,9846
10,50,WELSH_POWELL,5,32124
10,50,DSATUR,4,63195
10,50,GREEDY,4,9360
10,50,WELSH_POWELL,4,31974
10,50,DSATUR,4,58194
10,50,GREEDY,4,10116
10,50,WELSH_POWELL,4,32720
10,50,DSATUR,4,61516
10,50,GREEDY,5,10077
10,50,WELSH_POWELL,5,32347
10,50,DSATUR,4,61964
10,50,GREEDY,5,10484
10,50,WELSH_POWELL,4,32814
10,50,DSATUR,4,62819
10,50,GREEDY,6,11021
10,50,WELSH_POWELL,5,32171
